STUDBME1;STUDBME2;iot;ARC3;adel;CMP_LAB4;CMP_LAB2;CMP_LAB1;Label
59;0;0;0;0;44;0;101
35;36;0;0;18;0;66;65;101
32;41;0;0;18;40;39;40;101
32;39;0;0;15;39;39;39;101
32;36;0;0;15;52;42;40;101
32;34;0;0;15;28;39;40;101
32;35;0;0;15;36;39;40;101
32;35;0;0;21;36;39;35;101
22;36;0;0;20;36;38;38;101
22;53;0;0;21;53;52;52;101
22;40;0;0;21;53;52;52;101
22;36;0;0;23;65;52;66;101
22;38;0;0;23;65;52;66;101
22;46;0;0;28;65;52;53;101
27;33;0;0;28;65;58;47;101
32;32;0;0;28;57;56;55;101
20;38;0;0;28;39;39;37;101
20;29;0;0;20;42;39;39;101
20;39;0;0;12;38;38;39;101
20;39;0;0;17;38;53;39;101
20;39;0;0;21;58;58;58;101
27;35;0;0;19;65;63;63;101
26;42;0;0;25;65;63;41;101
26;37;0;0;25;65;63;59;101
26;37;0;0;21;54;55;46;101
26;55;0;0;14;54;55;53;101
25;37;0;0;22;55;55;47;101
32;39;0;0;21;63;64;62;101
31;46;0;0;21;63;64;61;101
31;44;0;0;17;67;68;69;101
31;37;0;0;25;52;52;52;101
31;43;0;0;23;37;52;38;101
31;42;0;0;23;45;52;44;101
31;44;0;0;21;45;58;51;101
31;44;0;0;28;45;47;47;101
31;42;0;0;24;45;47;46;101
31;42;0;0;24;43;43;44;101
31;42;0;0;28;47;46;44;101
39;40;0;8;24;54;55;54;101
0;60;0;0;36;32;33;39;102
0;70;0;0;37;32;33;39;102
0;55;0;0;30;32;30;30;102
47;36;20;17;28;32;30;26;102
44;40;24;17;24;32;34;26;102
45;64;23;17;32;32;34;26;102
45;45;30;17;32;32;34;33;102
45;45;30;17;32;32;36;37;102
45;50;22;17;32;32;31;31;102
45;55;22;17;32;32;31;31;102
45;67;22;16;32;37;31;31;102
35;44;23;16;32;33;31;37;102
35;44;27;16;32;33;34;37;102
35;42;27;16;32;33;32;33;102
35;48;27;16;32;33;39;33;102
35;59;27;16;32;37;33;33;102
45;70;27;16;32;27;33;33;102
45;46;27;16;32;27;39;38;102
45;68;27;16;32;27;43;38;102
45;70;27;16;32;27;28;38;102
45;57;27;16;32;27;28;24;102
44;48;30;16;32;27;28;26;102
46;48;25;16;32;27;29;34;102
38;62;25;16;32;27;34;33;102
33;71;25;16;32;27;34;33;102
33;65;25;16;32;34;34;33;102
33;68;25;16;32;34;34;33;102
33;70;25;16;32;34;30;31;102
47;52;28;16;32;34;35;31;102
47;46;28;16;32;34;35;31;102
37;47;19;16;32;25;35;23;102
0;33;31;0;0;0;10;0;103
0;25;36;0;0;0;10;0;103
0;20;41;0;0;12;10;0;103
29;20;44;0;0;12;10;10;103
29;22;44;0;0;12;10;11;103
32;22;40;0;0;12;10;11;103
32;16;45;0;0;14;10;11;103
32;29;45;0;0;14;10;11;103
32;35;35;0;0;14;14;11;103
46;38;29;0;0;14;28;28;103
32;24;35;0;0;14;8;28;103
22;24;39;0;0;14;8;28;103
22;19;41;0;0;14;8;28;103
22;21;34;0;0;14;8;28;103
22;21;33;0;0;14;14;14;103
29;29;29;0;0;14;18;14;103
36;26;22;0;0;23;18;14;103
31;26;37;0;0;23;18;14;103
32;29;30;0;0;24;18;23;103
32;24;33;0;0;24;18;23;103
32;29;38;0;0;24;14;23;103
32;21;52;0;0;24;14;23;103
15;21;52;0;0;24;14;23;103
32;21;30;0;0;24;14;8;103
32;21;60;0;0;24;14;8;103
32;21;60;0;0;24;11;8;103
27;22;37;0;0;7;11;8;103
27;22;39;0;0;14;11;8;103
27;24;38;20;0;14;15;8;103
27;17;47;10;0;14;15;7;103
24;19;50;10;0;14;15;7;103
51;34;40;23;0;0;18;0;104
35;25;30;18;0;0;18;0;104
35;24;30;18;0;11;18;0;104
35;19;30;18;0;11;18;10;104
35;26;30;9;0;11;18;10;104
34;28;37;9;0;11;22;10;104
31;27;30;9;0;11;22;10;104
35;21;26;9;0;11;22;10;104
29;20;26;9;0;11;22;10;104
29;18;25;9;0;11;22;10;104
29;23;28;9;0;11;22;10;104
29;18;35;9;0;11;22;10;104
25;20;35;9;0;13;22;14;104
31;20;26;17;0;14;22;14;104
25;23;30;17;0;14;22;14;104
25;26;26;17;0;18;17;14;104
25;26;30;15;0;18;17;14;104
